1231;19.03.2017;вс;12:30;жен;Кировец;Академия;40;2;;;;;
1232;19.03.2017;вс;15:30;1 муж;Академия;Петербурггаз;13;2;Цапро;;;;
1233;19.03.2017;вс;15:30;жен;Ижорец;Грифон;32;2;Реутов Сергей Петрович;Реутова;;;
1234;19.03.2017;вс;17:00;2 муж;Отрадное;Спартак;29;2;;;;;
1235;19.03.2017;вс;19:00;1 муж;Прибой;Центральный район;6;2;Гуленкин Василий Эдуардович;;;;
1268;20.03.2017;пн;19:00;жен;Капитан;Лесгафта;18;2;Шишкин Антон Кириллович;;;;
1236;22.03.2017;ср;19:00;1 муж;Экран;Прибой;8;2;Братаева Мария Геннадьевна;;;;
1237;22.03.2017;ср;19:30;1 муж;ЛЭТИ Спартак;ГДЮЦФКиС;11;2;;;;;
1269;24.03.2017;пт;19:00;жен;Экран;Капитан;8;2;;;;;
1272;25.03.2017;сб;16:30;жен;Капитан;Петербурггаз;23;2;;;;;
1239;25.03.2017;сб;19:30;2 муж;Универ-Авто;Кировец;17;2;;;;;
1240;26.03.2017;вс;11:30;2 муж;Ижорец;Универ-Авто;32;2;;;;;
113;26.03.2017;вс;14:00;1 муж;ГДЮЦФКИС;Цетральный район;39;2;Гуленкин Василий Эдуардович;;;;с 28.01.17 игра 1 круга
1241;26.03.2017;вс;16:30;жен;Василеостровец;Грифон;16;2;;;;;
1270;26.03.2017;вс;10:00;жен;Капитан;Университет-Балтийские Орланы;13;2;;;;;
1242;26.03.2017;вс;16:30;жен;Ижорец;Кировец;32;2;;;;;
1275;28.03.2017;вт;19:00;жен;Академия;Капитан;40;2;;;;;
1243;29.03.2017;ср;19:00;1 муж;Экран;Академия;8;2;;;;;
